"town","buffer","question","metric","obs_slope_decade","qcat","p_upper","p_two"
"Kendrick","none","Q5","firemaxrun_bi",1.25,"Q7",0.0945,0.189
"Kendrick","none","Q5","firemaxrun_erc",2.5,"Q7",0.074,0.148
"Kendrick","none","Q3","firep95_erc",4.02886280830559,"Q7",0.071,0.142
"Kendrick","none","Q3","firepeak_bi",3.21587499776104,"Q7",0.1205,0.241
"Kendrick","none","Q3","firepeak_erc",4.2842269653041,"Q7",0.11,0.22
"Kendrick","none","Q5","fireseasonlength_bi",12.7272727272727,"Q6",0.2075,0.415
"Kendrick","none","Q5","fireseasonlength_erc",21.0727969348659,"Q6",0.153,0.306
"Kendrick","none",NA,"fireseverity_bi90",15.3942403186884,"Q5",0.2895,0.579
"Kendrick","none",NA,"fireseverity_erc90",34.9013208308842,"Q6",0.217,0.434
"Kendrick","none","Q4","firestart_any_bi90",-2,"Q2",0.7275,0.545
"Kendrick","none","Q4","firestart_any_erc90",-2.5,"Q3",0.666,0.668
"Kendrick","none",NA,"firestart_k2_erc90",-3.78844361602982,"Q3",0.7105,0.579
"Kendrick","none",NA,"firestart_k3_bi90",-3.84615384615385,"Q3",0.711,0.578
"Kendrick","none",NA,"firestart_k3_erc90",-6.66666666666667,"Q2",0.8155,0.369
"Kendrick","none","Q4","firestart_wyday_bi",-3.84615384615385,"Q3",0.711,0.578
"Kendrick","none","Q4","firestart_wyday_erc",-6.66666666666667,"Q2",0.8155,0.369
"Kendrick","none","Q2","firesummerhighdays_bi90",2.72727272727273,"Q6",0.2395,0.479
"Kendrick","none","Q2","firesummerhighdays_erc90",2.5,"Q5",0.335,0.67
