town,buffer,wateryear,metric,value
Bovill,10mibuffer,2025,coolseasonanomprecip,-91.382745380704975
Bovill,10mibuffer,1980,coolseasondrydays1mm,84
Bovill,10mibuffer,1981,coolseasondrydays1mm,115
Bovill,10mibuffer,1982,coolseasondrydays1mm,81
Bovill,10mibuffer,1983,coolseasondrydays1mm,78
Bovill,10mibuffer,1984,coolseasondrydays1mm,84
Bovill,10mibuffer,1985,coolseasondrydays1mm,89
Bovill,10mibuffer,1986,coolseasondrydays1mm,87
Bovill,10mibuffer,1987,coolseasondrydays1mm,103
Bovill,10mibuffer,1988,coolseasondrydays1mm,111
Bovill,10mibuffer,1989,coolseasondrydays1mm,77
Bovill,10mibuffer,1990,coolseasondrydays1mm,91
Bovill,10mibuffer,1991,coolseasondrydays1mm,76
Bovill,10mibuffer,1992,coolseasondrydays1mm,102
Bovill,10mibuffer,1993,coolseasondrydays1mm,99
Bovill,10mibuffer,1994,coolseasondrydays1mm,116
Bovill,10mibuffer,1995,coolseasondrydays1mm,89
Bovill,10mibuffer,1996,coolseasondrydays1mm,72
Bovill,10mibuffer,1997,coolseasondrydays1mm,69
Bovill,10mibuffer,1998,coolseasondrydays1mm,96
Bovill,10mibuffer,1999,coolseasondrydays1mm,76
Bovill,10mibuffer,2000,coolseasondrydays1mm,56
Bovill,10mibuffer,2001,coolseasondrydays1mm,109
Bovill,10mibuffer,2002,coolseasondrydays1mm,76
Bovill,10mibuffer,2003,coolseasondrydays1mm,100
Bovill,10mibuffer,2004,coolseasondrydays1mm,97
Bovill,10mibuffer,2005,coolseasondrydays1mm,112
Bovill,10mibuffer,2006,coolseasondrydays1mm,82
Bovill,10mibuffer,2007,coolseasondrydays1mm,92
Bovill,10mibuffer,2008,coolseasondrydays1mm,81
Bovill,10mibuffer,2009,coolseasondrydays1mm,103
Bovill,10mibuffer,2010,coolseasondrydays1mm,115
Bovill,10mibuffer,2011,coolseasondrydays1mm,68
Bovill,10mibuffer,2012,coolseasondrydays1mm,98
Bovill,10mibuffer,2013,coolseasondrydays1mm,93
Bovill,10mibuffer,2014,coolseasondrydays1mm,109
Bovill,10mibuffer,2015,coolseasondrydays1mm,110
Bovill,10mibuffer,2016,coolseasondrydays1mm,89
